,nombre,equipo,posicion,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejos
477,J. CAMPANA,LEVANTE,CENTROCAMPISTA,70.0,76.0,84.0,79.0,60.0,74.0,,,,,,
478,N. RADOJA,LEVANTE,CENTROCAMPISTA,58.0,58.0,69.0,69.0,59.0,71.0,,,,,,
479,N. VUKCEVIC,LEVANTE,CENTROCAMPISTA,57.0,61.0,68.0,65.0,60.0,74.0,,,,,,
480,M. MALSA,LEVANTE,CENTROCAMPISTA,75.0,56.0,68.0,74.0,61.0,75.0,,,,,,
481,MORALES,LEVANTE,DELANTERO,86.0,79.0,76.0,84.0,54.0,73.0,,,,,,
482,JORGE DE FRUTOS,LEVANTE,DELANTERO,82.0,65.0,72.0,80.0,39.0,66.0,,,,,,
483,R. SOLDADO,LEVANTE,DELANTERO,55.0,74.0,69.0,68.0,45.0,69.0,,,,,,
484,ROGER,LEVANTE,DELANTERO,77.0,66.0,59.0,76.0,45.0,75.0,,,,,,
485,DANI GOMEZ,LEVANTE,DELANTERO,75.0,71.0,69.0,77.0,45.75,70.75,,,,,,
486,ALEX CANTERO,LEVANTE,DELANTERO,75.0,71.0,69.0,77.0,45.75,70.75,,,,,,
487,F. PACHECO,ALAVES,PORTERO,,,,,,,73.0,81.0,79.0,71.0,83.0,84.0
488,ANTONIO SIVERA,ALAVES,PORTERO,,,,,,,69.0,72.0,70.0,68.0,73.0,72.0
489,F. LEJEUNE,ALAVES,DEFENSA,48.0,54.0,58.0,59.0,56.0,69.0,,,,,,
490,N. TENAGLIA,ALAVES,DEFENSA,73.0,42.0,59.0,72.0,60.0,72.0,,,,,,
491,R. DUARTE,ALAVES,DEFENSA,68.0,48.0,63.0,68.0,59.0,67.0,,,,,,
492,LAGUARDIA,ALAVES,DEFENSA,51.0,38.0,52.0,49.0,56.0,69.0,,,,,,
493,MATT MIAZGA,ALAVES,DEFENSA,53.0,30.0,43.0,57.0,48.0,69.0,,,,,,
494,XIMO NAVARRO,ALAVES,DEFENSA,75.0,51.0,65.0,70.0,58.0,76.0,,,,,,
495,M. AGUIRREGABIRIA,ALAVES,DEFENSA,68.0,38.0,59.0,70.0,59.0,67.0,,,,,,
496,SAUL GARCIA,ALAVES,DEFENSA,69.0,58.0,68.0,68.0,53.0,64.0,,,,,,
497,JAVI LOPEZ,ALAVES,DEFENSA,63.125,44.875,58.375,64.125,56.125,69.125,,,,,,
498,T. PINA,ALAVES,CENTROCAMPISTA,48.0,65.0,71.0,67.0,57.0,69.0,,,,,,
499,MANU GARCIA,ALAVES,CENTROCAMPISTA,80.0,71.0,73.0,78.0,47.0,65.0,,,,,,
500,G. ESCALANTE,ALAVES,CENTROCAMPISTA,66.0,63.0,71.0,69.0,61.0,72.0,,,,,,
501,IVAN MARTIN,ALAVES,CENTROCAMPISTA,70.0,58.0,67.0,71.0,40.0,55.0,,,,,,
502,M. LOUM,ALAVES,CENTROCAMPISTA,53.0,54.0,57.0,59.0,51.0,70.0,,,,,,
503,PERE PONS,ALAVES,CENTROCAMPISTA,65.0,56.0,69.0,71.0,60.0,70.0,,,,,,
504,TONI MOYA,ALAVES,CENTROCAMPISTA,61.0,47.0,58.0,64.0,51.0,59.0,,,,,,
505,JOSELU,ALAVES,DELANTERO,56.0,72.0,66.0,67.0,32.0,71.0,,,,,,
506,LUIS RIOJA,ALAVES,DELANTERO,69.16666666666667,68.16666666666667,64.83333333333333,70.83333333333333,39.833333333333336,70.33333333333333,,,,,,
507,EDGAR MENDEZ,ALAVES,DELANTERO,76.0,65.0,71.0,72.0,42.0,71.0,,,,,,
508,MIGUEL DE LA FUENTE,ALAVES,DELANTERO,73.0,54.0,49.0,69.0,33.0,71.0,,,,,,
509,J. GUIDETTI,ALAVES,DELANTERO,60.0,75.0,65.0,67.0,37.0,68.0,,,,,,
510,JASON,ALAVES,DELANTERO,74.0,71.0,71.0,73.0,48.0,69.0,,,,,,
511,F. PELLISTRI,ALAVES,DELANTERO,69.16666666666667,68.16666666666667,64.83333333333333,70.83333333333333,39.833333333333336,70.33333333333333,,,,,,
512,MANU VALLEJO,ALAVES,DELANTERO,76.0,72.0,67.0,77.0,47.0,72.0,,,,,,
